cpdiv,cpimage,cpcoords,cp1,cp2,cp3,cptabimage,cptab1,cptab2,cpfield,pbdiv,pb1,pb2,pbtab1,pbtab2,pbfield,howto,addinfo
div-menuHostCommon,scr-menuHostCommon.png,,Host,Common,Host Settings,,Basic Settings,Configuration,IP Address,,???,,,,,,
div-menuHostCommon,scr-menuHostCommon.png,,Host,Common,Host Settings,,Basic Settings,Configuration,Permissions,,???,,,,,,
div-menuHostCommon,scr-menuHostCommon.png,,Host,Common,Host Settings,,Basic Settings,Host Details,"Host Website
Host Title
Host Email",,(deprecated),,,,,,
div-menuHostCommon,scr-menuHostCommon.png,,Host,Common,Host Settings,,Basic Settings,Host Details,Host URL,,Settings,Servers,System Info,Web,Site URL,,
div-menuHostCommon,scr-menuHostCommon.png,,Host,Common,Host Settings,,Basic Settings,Host Details,Enable Remember Me on Login Control,,Settings,Security,More,More Security Settings,Enable Remember Me on Login Control,,
div-menuHostCommon,scr-menuHostCommon.png,,Host,Common,Host Settings,,Basic Settings,Appearance,Show Copyright Credits,,???,,,,,,
div-menuHostCommon,scr-menuHostCommon.png,,Host,Common,Host Settings,,Basic Settings,Appearance,Use Custom Error Messages,,???,,,,,,
div-menuHostCommon,scr-menuHostCommon.png,,Host,Common,Host Settings,,Basic Settings,Appearance,Use Custom Module CSS Class,,???,,,,,,
div-menuHostCommon,scr-menuHostCommon.png,,Host,Common,Host Settings,,Basic Settings,Appearance,Require SSL for Upgrade Wizard,,???,,,,,,
div-menuHostCommon,scr-menuHostCommon.png,,Host,Common,Host Settings,,Basic Settings,Appearance,Host Theme,,???,,,,,,
div-menuHostCommon,scr-menuHostCommon.png,,Host,Common,Host Settings,,Basic Settings,Appearance,Host Container,,???,,,,,,
div-menuHostCommon,scr-menuHostCommon.png,,Host,Common,Host Settings,,Basic Settings,Appearance,Edit Theme,,???,,,,,,
div-menuHostCommon,scr-menuHostCommon.png,,Host,Common,Host Settings,,Basic Settings,Appearance,Edit Container,,???,,,,,,
div-menuHostCommon,scr-menuHostCommon.png,,Host,Common,Host Settings,,Basic Settings,Appearance,Fallback Theme Doctype,,???,,,,,,
div-menuHostCommon,scr-menuHostCommon.png,,Host,Common,Host Settings,,Basic Settings,Payment Settings,,,???,,,,,,
div-menuHostCommon,scr-menuHostCommon.png,,Host,Common,Host Settings,,Advanced Settings,Friendly URL Settings,,,???,,,,,,
div-menuHostCommon,scr-menuHostCommon.png,,Host,Common,Host Settings,,Advanced Settings,Proxy Settings,,,???,,,,,,
div-menuHostCommon,scr-menuHostCommon.png,,Host,Common,Host Settings,,Advanced Settings,SMTP Server Settings,,,Settings,Servers,Server Settings,SMTP Server,,,
div-menuHostCommon,scr-menuHostCommon.png,,Host,Common,Host Settings,,Advanced Settings,Performance Settings,,,Settings,Servers,Server Settings,Performance,,,
div-menuHostCommon,scr-menuHostCommon.png,,Host,Common,Host Settings,,Advanced Settings,jQuery Settings,,,???,,,,,,
div-menuHostCommon,scr-menuHostCommon.png,,Host,Common,Host Settings,,Advanced Settings,CDN Settings,,,???,,,,,,
div-menuHostCommon,scr-menuHostCommon.png,,Host,Common,Host Settings,,Advanced Settings,Client Resource Management,,,Settings,Servers,Server Settings,Performance,,,
div-menuHostCommon,scr-menuHostCommon.png,,Host,Common,Host Settings,,Advanced Settings,Membership Management,,,Settings,Security,Member Accounts,Member Management,,,
div-menuHostCommon,scr-menuHostCommon.png,,Host,Common,Host Settings,,Advanced Settings,Login IP Filters,,,Settings,Security,Login Settings,Login IP Filters,,,
div-menuHostCommon,scr-menuHostCommon.png,,Host,Common,Host Settings,,Advanced Settings,Search Settings,,,Settings,Site Settings,Search,Basic Settings,,,
div-menuHostCommon,scr-menuHostCommon.png,,Host,Common,Host Settings,,Advanced Settings,Search Criteria,,,Settings,Site Settings,Search,File Extensions,,,
div-menuHostCommon,scr-menuHostCommon.png,,Host,Common,Host Settings,,Other Settings,,Enable Request Filters,,???,,,,,,
div-menuHostCommon,scr-menuHostCommon.png,,Host,Common,Host Settings,,Other Settings,,Control Panel,,(deprecated),,,,,,
div-menuHostCommon,scr-menuHostCommon.png,,Host,Common,Host Settings,,Other Settings,,Enable Users Online,,???,,,,,,
div-menuHostCommon,scr-menuHostCommon.png,,Host,Common,Host Settings,,Other Settings,,Users Online Time,,???,,,,,,
div-menuHostCommon,scr-menuHostCommon.png,,Host,Common,Host Settings,,Other Settings,,"Auto-Unlock Accounts After
Allowable File Extensions
Debug Mode
Show Critical Errors on Screen
Max Upload Size
Time Before Timeout",,Settings,Security,More,More Security Settings,"Auto-Unlock Accounts After
Allowable File Extensions
Debug Mode
Show Critical Errors on Screen
Max Upload Size
Time Before Timeout",,
div-menuHostCommon,scr-menuHostCommon.png,,Host,Common,Host Settings,,Other Settings,,Enable Event Log Buffer,,???,,,,,,
div-menuHostCommon,scr-menuHostCommon.png,,Host,Common,Host Settings,,Other Settings,,Help URL,,???,,,,,,
div-menuHostCommon,scr-menuHostCommon.png,,Host,Common,Host Settings,,Other Settings,,Enable Module Online Help,,???,,,,,,
div-menuHostCommon,scr-menuHostCommon.png,,Host,Common,Host Settings,,Other Settings,,Auto-Sync File System,,???,,,,,,
div-menuHostCommon,scr-menuHostCommon.png,,Host,Common,Host Settings,,Other Settings,,Allow Content Localization,,???,,,,,,
div-menuHostCommon,scr-menuHostCommon.png,,Host,Common,Host Settings,,Other Settings,,Participate in DNN Improvement Program,,Settings,Site Settings,Site Behavior,More,Participate in DNN Improvement Program,,
div-menuHostCommon,scr-menuHostCommon.png,,Host,Common,Host Settings,,Logs,,,,Settings,Servers,Server Settings,Logs,,,
div-menuHostCommon,scr-menuHostCommon.png,,Host,Common,Knowledge Base,,,,,,[logo],Documentation,,,,,
div-menuHostCommon,scr-menuHostCommon.png,,Host,Common,Site Management,,,,,,Manage,Sites,,,,,
div-menuHostAdvanced,scr-menuHostAdvanced.png,"111,1,174,53",Admin,,,,div-menuAdminCommon,,,,,,,,,,
div-menuHostAdvanced,scr-menuHostAdvanced.png,"175,1,224,53",Host,,,,div-menuHost,,,,,,,,,,
div-menuHostAdvanced,scr-menuHostAdvanced.png,"226,1,275,53",Tools,,,,div-menuTools,,,,,,,,,,
div-menuHostAdvanced,scr-menuHostAdvanced.png,"280,1,329,53",Help,,,,div-menuHelp,,,,,,,,,,
div-menuHostAdvanced,scr-menuHostAdvanced.png,"357,1,448,53",Modules,,,,div-menuModules,,,,,,,,,,
div-menuHostAdvanced,scr-menuHostAdvanced.png,"454,1,523,53",Pages,,,,div-menuPages,,,,,,,,,,
div-menuHostAdvanced,scr-menuHostAdvanced.png,"527,1,605,53",Users,,,,div-menuUsers,,,,,,,,,,
div-menuHostAdvanced,scr-menuHostAdvanced.png,"610,1,710,53",OnDemand,,,,div-menuOnDemand,,,,,,,,,,
div-menuHostAdvanced,scr-menuHostAdvanced.png,,Host,Common,,,div-menuHostCommon,,,,,,,,,,
div-menuHostAdvanced,scr-menuHostAdvanced.png,,Host,Advanced,,,div-menuHostAdvanced,,,,,,,,,,
div-menuHostAdvanced,scr-menuHostAdvanced.png,,Host,Advanced,Activate Your License,,,,,,Settings,About,,,,,
div-menuHostAdvanced,scr-menuHostAdvanced.png,,Host,Advanced,Advanced URL management,,General,,,,Settings,SEO,URL Management,General Settings,,,
div-menuHostAdvanced,scr-menuHostAdvanced.png,,Host,Advanced,Advanced URL management,,Regular Expressions,,,,Settings,SEO,URL Management,Expressions,,,
div-menuHostAdvanced,scr-menuHostAdvanced.png,,Host,Advanced,Configuration Manager,,,,,,Settings,Config Manager,,,,,
div-menuHostAdvanced,scr-menuHostAdvanced.png,,Host,Advanced,HTML Editor Manager,,,,,,Settings,Custom CSS,,,,,
div-menuHostAdvanced,scr-menuHostAdvanced.png,,Host,Advanced,License Management,,,,,,Settings,About,,,,,
div-menuHostAdvanced,scr-menuHostAdvanced.png,,Host,Advanced,Lists,,,,,,(deprecated),,,,,,
div-menuHostAdvanced,scr-menuHostAdvanced.png,,Host,Advanced,Manage Web Servers,,Server Web Request Adapter,,,,Settings,Servers,Server Settings,Web Servers,,,
div-menuHostAdvanced,scr-menuHostAdvanced.png,,Host,Advanced,Manage Web Servers,,Caching,,,,Settings,Servers,Server Settings,Performance,,,
div-menuHostAdvanced,scr-menuHostAdvanced.png,,Host,Advanced,Manage Web Servers,,Servers,,,,Settings,Servers,Server Settings,Web Servers,,,
div-menuHostAdvanced,scr-menuHostAdvanced.png,,Host,Advanced,Manage Web Servers,,Memory Usage,,,,Settings,Servers,Server Settings,,,,
div-menuHostAdvanced,scr-menuHostAdvanced.png,,Host,Advanced,Manage Web Servers,,SSL Offload Header Value,,,,Settings,Security,More,SSL Settings,,,
div-menuHostAdvanced,scr-menuHostAdvanced.png,,Host,Advanced,My Support Tickets,,,,,,[logo],Customer Portal,Open or View Support Tickets,,,,
div-menuHostAdvanced,scr-menuHostAdvanced.png,,Host,Advanced,Schedule,,,,,,Settings,Scheduler,Scheduler,,,,
